Item Name,Icon Path,Armor Type,Defense Power,Resistance,Weight,Movement Speed Modifier,Base Value,Rarity,Required Level,Equip Slot,Description
Bathrobe of Bravery,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Cloak/cloak_17.png,Cloth,5,0,2,0.2,15,Common,3,Chest,Feel brave
Cap of Catastrophe,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Hat/pirate_hat.png,Cloth,0,0,1,-0.1,10,Uncommon,3,Head,Bad luck seems to follow this cap.
Cardboard Helmet,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Engineering/Engineering_40_protector_in_the_box.png,Leather,1,0,0.1,0.1,1,Common,1,Head,Surprisingly not as protective as it looks.
Clogs of Clumsiness,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Leather/7_Leather_boots.png,Cloth,-5,0,5,-0.5,5,Common,1,Legs,Not great for running. Or walking.
Dragonscale Shield,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Shield_v2_10.png,Dragonscale,50,35,15,-0.1,75,Rare,20,OffHand,Made from real dragon scales!
Elfweave Robe,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Cloak/cloak_20.png,Elfweave,40,25,8,0,60,Rare,15,Chest,Crafted by elven artisans.
Glittering Gold Gown,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Cloak/cloak_28.png,Gold,15,10,10,-0.1,40,Rare,8,Chest,You'll shine
Golden Mail,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Mail/6_Mail_Chest.png,Mail,30,15,20,-0.2,45,Uncommon,10,Chest,Shiny and protective.
Grandma's Knitted Coif,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Cloth/3_Cloth_Head.png,Cloth,10,5,1,0,20,Common,6,Head,It's warm and full of love. Defense value questionable.
Iron Helm,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor/Helm_22.png,Iron,20,5,10,-0.1,30,Common,5,Head,A sturdy iron helmet.
Leather Tunic,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Leather/1_Leather_Chest.png,Leather,10,0,5,0,15,Common,1,Chest,Simple leather armor.
Muffler of Mumbling,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Hat/diver_mask.png,Iron,0,5,1,0,5,Rare,4,Head,Makes everything sound profound yet unintelligible.
Pants of Panic,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Leather/9_Leather_Pants.png,Leather,-10,0,5,-0.1,10,Uncommon,2,Legs,Something feels off about these pants.
Shirt of Shyness,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor/Chest_01.png,Iron,5,0,2,0,15,Common,2,Chest,Makes you feel incredibly self-conscious.
Slippers of Slipping,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Tailoring/Tailoring_24_socks.png,Cloth,0,0,0.5,-0.3,5,Uncommon,4,Legs,Warning: Not for use on slippery surfaces.
Boots of Unstoppable Dancing,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Leather/8_Leather_boots.png,Cloth,0,-5,1,0.4,20,Uncommon,5,Legs,You can't stop dancing. Literally.
Bucket of Dubious Defense,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Engineering/Engineering_23_water_pail.png,Iron,2,0,3,-0.1,5,Common,1,Head,It's a bucket. On your head.
Cheeseplate Armor,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor/Chest_11.png,Bronze,10,5,10,-0.2,25,Rare,7,Chest,Protective and delicious. Beware of mice.
Cloak of Visibility,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Cloak/cloak_21.png,Cloth,-5,0,1,0,5,Common,2,Chest,"You're very, VERY visible."
Corset of Holding,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Mail/8_Mail_Chest.png,Mail,15,0,3,0.1,35,Rare,9,Chest,Contains extra-dimensional space for snacks.
Glasses of Nearsightedness,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Jewelcrafting/Jewelcrafting_24_glass.png,Crystal,0,10,0.2,0,20,Uncommon,4,Head,"Clear vision, but only for things extremely close."
Hat of Unfortunate Puns,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Hat/jester_hat.png,Cloth,0,0,1,0,10,Common,1,Head,Causes the wearer to speak in puns. It's pun-ishing.
Mitten of the Overconfident,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Leatherworking/Leatherworking_29_glove.png,Leather,5,-10,1,0.1,15,Common,3,OffHand,Makes you feel invincible. You're not.
Pillow Shield,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Tailoring/Tailoring_19_pillow.png,Cloth,1,20,1,-0.1,15,Uncommon,3,OffHand,Comfortable but not very effective.
Potion-laden Belt,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Alchemy/Alchemy_40_potion_set.png,Leather,0,10,2,0,25,Rare,6,Accessory,Can hold various potions. Slightly rattles when you walk.
