Item Name,Icon Path,Potion Effect,Effect Power,Duration,Cooldown,Is Stackable,Base Value,Rarity,Required Level,Description
Abyssal Ambrosia,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/skill_b_Standart/08_Death.png,Intangibility,5,300,350,FALSE,1100,Legendary,20,Drinking this imbues the consumer with the enigmatic power of the abyss. Shadows become allies.
Anti-Magic Malt,Assets/CustomAssets/4000_Fantasy_Icons/Skills/500_skill_icons2/Bonus_2/Nobg/5_summon_ent_nobg.png,AntiMagic,1,180,50,FALSE,140,Legendary,16,Nullify magic & nostalgic feelings.
Anywhere Ale,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Cooking_fishing/Cooking_50_beer.png,Teleportation,2,0,60,FALSE,120,Legendary,11,Teleport randomly & feel tipsy.
Backward Berry Blast,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/skill_b_No_bg/14_Big_frost_arrow_nobg.png,Haste,2,150,35,FALSE,590,Legendary,22,Can only walk backward & hum rewind noises.
Bard's Blunder Brew,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Alchemy/Alchemy_23_black_poison.png,BoostKnowledge,1,3600,180,FALSE,250,Epic,15,Can't stop singing for an hour.
Basilisk's Bubblegum Bliss,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/neutral_skills/magic_runes.png,Transformation,1,10,5,TRUE,70,Uncommon,4,Turn to stone momentarily & crave gum.
Battle Beet Broth,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Cooking_fishing/Cooking_40_soup.png,Berserk,1,90,40,FALSE,115,Legendary,13,Go berserk & dance wildly.
Bellini Breeze,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/skill_b_No_bg/23_Light_blow_nobg.png,Heal,1,210,25,TRUE,30,Common,3,Enhances grace in movement. Perfect for those fancy events.
Blinking Banana Beverage,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Alchemy/Alchemy_11_magic_mixture.png,Teleportation,3,90,40,FALSE,620,Legendary,23,Random short-range teleports & spontaneous banana humor.
Bloody Mary Brew,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Alchemy/Alchemy_06_blood.png,Dispel,2,0,60,TRUE,45,Uncommon,8,Neutralizes toxins in your system. Comes with a hint of spiciness.
Brainy Brew,Assets/CustomAssets/4000_Fantasy_Icons/Skills/500_skill_icons2/Bonus/nobg/01_summon_zombie_nobg.png,BoostKnowledge,3,400,50,FALSE,90,Epic,8,Boost knowledge & urge to wear glasses.
